processors,readin,mapping,converting,changetypes,GroupByArtist,GroupByYear,Analysis
2,40.28537612687796,2.774538183119148,4.4880660199560225,4.4880660199560225,0.03851248603314161,0.009295675903558731,1092.014204802923
2,43.32313423324376,0.4101776434108615,0.36424808017909527,0.36424808017909527,0.013973664958029985,0.006789383944123983,846.4274240941741
2,5.989001509733498,0.19878534600138664,0.24914699280634522,0.24914699280634522,0.013518739957362413,0.006765805184841156,850.0791223808192
3,10.309220504947007,0.37117334781214595,0.2386569706723094,0.2386569706723094,0.023203140124678612,0.010526656173169613,879.7202828750014
3,12.167871135286987,0.2235638932324946,0.6754852961748838,0.6754852961748838,0.008951162919402122,0.006687341723591089,840.3044069511816
3,13.387018736917526,0.24928684625774622,0.3073440450243652,0.3073440450243652,0.009937088936567307,0.008708924986422062,860.6972676538862
4,28.263040060177445,3.443731022067368,8.654252915643156,8.654252915643156,0.14063393138349056,0.016733519732952118,1511.5501565872692
4,40.863648544065654,2.252547580283135,0.3685619314201176,0.3685619314201176,0.044546729885041714,0.008957708720117807,1625.497336447239
4,37.34716976294294,0.40555479004979134,0.3053092579357326,0.3053092579357326,0.022356384433805943,0.008475928101688623,1544.6062896847725
6,62.20336373196915,0.7314698500558734,0.44938749819993973,0.44938749819993973,0.028789740055799484,0.007105732802301645,1458.4355335412547
6,74.33933051908389,1.2184152496047318,4.3710041251033545,4.3710041251033545,0.109771016985178,0.008883222937583923,1508.6814005328342
6,133.45817966014147,8.46855163294822,1.083794079720974,1.083794079720974,0.06412832206115127,0.01957637583836913,1519.5771117778495
1,18.611465722322464,4.8294657887890935,5.657551812939346,5.657551812939346,0.077940559014678,0.012742749880999327,945.1060984092765
1,28.183149957098067,4.863955448381603,0.611972683109343,0.611972683109343,0.01717915665358305,0.008714288007467985,942.7929713148624
