processors,readin,mapping,converting,changetypes,GroupByArtist,GroupByYear,Analysis
3,23.13493923470378,3.8684831052087247,7.029855659697205,7.029855659697205,0.07560715079307556,0.018064633943140507,1001.0180747359991
3,10.309220504947007,0.37117334781214595,0.2386569706723094,0.2386569706723094,0.023203140124678612,0.010526656173169613,879.7202828750014
3,12.167871135286987,0.2235638932324946,0.6754852961748838,0.6754852961748838,0.008951162919402122,0.006687341723591089,840.3044069511816
3,13.387018736917526,0.24928684625774622,0.3073440450243652,0.3073440450243652,0.009937088936567307,0.008708924986422062,860.6972676538862
3,15.00322860199958,0.37126863608136773,0.34331151377409697,0.34331151377409697,0.009094722103327513,0.006016334053128958,1079.9159050919116
6,44.61940967710689,2.6812382880598307,6.188121241051704,6.188121241051704,0.06171635678038001,0.008882567752152681,1611.697590965312
6,62.20336373196915,0.7314698500558734,0.44938749819993973,0.44938749819993973,0.028789740055799484,0.007105732802301645,1458.4355335412547
6,31.412473190110177,0.4665548070333898,0.37243354972451925,0.37243354972451925,0.028964863624423742,0.011294411029666662,1716.1725418898277
6,74.33933051908389,1.2184152496047318,4.3710041251033545,4.3710041251033545,0.109771016985178,0.008883222937583923,1508.6814005328342
6,133.45817966014147,8.46855163294822,1.083794079720974,1.083794079720974,0.06412832206115127,0.01957637583836913,1519.5771117778495
